구분,유저,챗봇
감각신경성 난청,이명이 들리고 어지러워요.,감각신경성 난청인거 같아요! 최대한 빨리 이비인후과에 방문해주세요!!
고막염,이물감이 있고 이명이 들려요.,고막염인거 같아요! 수영을 당분간 자제하고 항생제를 복용해야해요!! 이비인후과에 방문해주세요
급성 중이염,머리가 아프고 이명이 들려요.,급성 중이염일 수 있어요! 이비인후과에 방문해주세요 5~10일정도 항생제와 진통제를 드셔야해요
급성 중이염,귀에서 물같은게 나와요.,급성 중이염인거 같아요! 이비인후과에 방문해주세요 5~10일정도 항생제와 진통제를 드셔야해요!!
급성 중이염,귀에서 고름이 나오고 아파요.,급성 중이염인거 같아요! 이비인후과에 방문해주세요 5~10일정도 항생제와 진통제를 드셔야해요!
난청,어지럽고 이명이 들려요.,난청 증상인거 같아요! 이비인후과에 방문해주세요 약물치료나 수술이 필요해요!!	
난청,소리가 잘 안들리고 아파요.,난청 증상인거 같아요! 이비인후과에 방문해주세요 약물치료나 수술이 필요해요!!
노인성 난청,소리가 잘 안들려요.,나이가 많다면 노인성 난청인거 같아요! 이비인후과에 방문해주세요 보청기를 사용하면 좋아요!
만성 중이염,귀에서 냄새가 나고 뭐가 나와요.,만성 중이염인거 같아요! 이비인후과에 방문해주세요 염증에 대한 약물 치료가 필요해요!!
만성 중이염,소리가 잘 안들리고 어지러워요.	,만성 중이염인거 같아요! 이비인후과에 방문해주세요 염증에 대한 약물 치료가 필요해요!
만성 중이염,이명이 들리고 아파요.,만성 중이염인거 같아요! 이비인후과에 방문해주세요 염증에 대한 약물 치료가 필요해요!
메니에르병,이명이 들리고 소리가 잘 안들려요.,메니에르병인거 같아요! 이비인후과에 방문해주세요 저염식 식단조절과 약물치료가 필요해요!
메니에르병,소리가 잘 안들리고 어지러워요.,메니에르병인거 같아요! 이비인후과에 방문해주세요 저염식 식단조절과 약물치료가 필요해요!
미로염,어지럽고 소리를 잘 안들려요.,미로염인거 같아요! 이비인후과에 방문해주세요 증상이 나타날 때 눈을 감아주세요! 약물치료가 필요해요!
외이도염,귀가 아프고 악취가 나요.,외이도염인거 같아요! 이비인후과에 방문해주세요 귀를 깨끗하게 소독하고 항생제로 치료해야 합니다
외이도염,귀에서 뭐가 나오고 악취가 나요.,외이도염인거 같아요! 이비인후과에 방문해주세요 귀를 깨끗하게 소독하고 항생제로 치료해야 합니다!
부비동염,냄새를 맡기 힘들고 열이 나요.,부비동염인거 같아요!  이비인후과에 방문해주세요
부비동염,구토를 하고 목이 아파요.	,부비동염인거 같아요!  이비인후과에 방문해주세요
부비동염,코가 막히고 콧물이 나요.	,부비동염인거 같아요!  이비인후과에 방문해주세요
비출,코피가 나요.,비출혈인거 같아요! 얼음 혹은 찬물로 찜질을 하면 좋아요! 고개를 젖히지 말고 아래로 해주세요!
수면 무호흡증,코골이가 심하고 잘 때 숨을 쉬기 어려워요.,수면 무호흡증인거 같아요! 호흡 보조장치를 사용하면 치료에 큰 도움이 돼요! 이비인후과에 방문해주세요
인후두염	,목소리가 변했어요.,인후두염인거 같아요! 안정을 취하고 물을 많이 마셔주세요! 술과 담배는 금지에요
인후두염,음식이나 물을 삼키기 어려워요.,인후두염인거 같아요! 이비인후과에 방문해주세요 안정을 취하고 물을 많이 마셔주세요! 술과 담배는 금지에요!
인후두염,목에 뭐가 걸린 느낌이 들어요.,인후두염인거 같아요! 이비인후과에 방문해주세요 안정을 취하고 물을 많이 마셔주세요! 술과 담배는 금지에요!
편도선염,편도선이 붓고 목이 너무 아파요.,편도선염인거같아요! 이비인후과에 방문해주세요 충분히 휴식하고 물을 많이 마셔주세요! 많이 아프시면 소염 진통제를 복용해주세요!
편도선염,편도선이 붓고 물도 삼키기 힘들어요.,편도선염인거같아요! 이비인후과에 방문해주세요 충분히 휴식하고 물을 많이 마셔주세요! 많이 아프시면 소염 진통제를 복용해주세요
감기,목이 아프고 콧물이 나요.,감기인거 같아요! 몸을 따뜻하게 하고 충분히 휴식해주세요! 증상이 심하면 이비인후과에 방문해주세요!
감기,코가 막히고 콧물이 나요.,감기인거 같아요! 몸을 따뜻하게 하고 충분히 휴식해주세요! 증상이 심하면 이비인후과에 방문해주세요!
감기,머리가 아프고 열이 나요.,감기인거 같아요! 몸을 따뜻하게 하고 충분히 휴식해주세요! 증상이 심하면 이비인후과에 방문해주세요!
감기,기침이 나고 열이 나요.,감기인거 같아요! 몸을 따뜻하게 하고 충분히 휴식해주세요! 증상이 심하면 이비인후과에 방문해주세요!
감기,기침이 나고 콧물이 나요.,감기인거 같아요! 몸을 따뜻하게 하고 충분히 휴식해주세요! 증상이 심하면 이비인후과에 방문해주세요!
감기,콧물이 나고 열이나요.,감기인거 같아요! 몸을 따뜻하게 하고 충분히 휴식해주세요! 증상이 심하면 이비인후과에 방문해주세요!
감기,기침이 나고 머리가 아파요.,감기인거 같아요! 몸을 따뜻하게 하고 충분히 휴식해주세요! 증상이 심하면 이비인후과에 방문해주세요!
성대결절,목소리가 갈라져요.,성대결절인거 같아요! 충분히 가습해주시고 증상이 나아질 때까지 3개월 정도는 말씀을 하지마세요! 증상이 심하면 이비인후과에 방문해주세요!
성대결절,높은 목소리를 낼 수가 없어요.,성대결절인거 같아요! 충분히 가습해주시고 증상이 나아질 때까지 3개월 정도는 말씀을 하지마세요! 증상이 심하면 이비인후과에 방문해주세요!
성대결절,목소리가 평소와 달라요.,성대결절인거 같아요! 충분히 가습해주시고 증상이 나아질 때까지 3개월 정도는 말씀을 하지마세요! 증상이 심하면 이비인후과에 방문해주세요!
만성 비염,기침을 하고 냄새를 못맡아요.,만성 비염인거같아요! 식염수를 통해 비강을 세척해주세요! 증상이 심하면 이비인후과에 방문해주세요!
만성 비염,코가 막히고 콧물이 나요.,만성 비염인거같아요! 식염수를 통해 비강을 세척해주세요! 증상이 심하면 이비인후과에 방문해주세요!
이석증,제 의사와는 상관없이 눈이 빙빙 돌아요.,이석증인거 같아요!! 별 다른 치료 없이도 수 주 이내에 호전되는 경우가 많아요! 그래도 증상이 심하면 이비인후과에 방문해주세요
이석증,구토를 하고 어지러워요.,이석증인거 같아요!! 별 다른 치료 없이도 수 주 이내에 호전되는 경우가 많아요! 그래도 증상이 심하면 이비인후과에 방문해주세요!!
비용종,코골이가 심해요.,비용종인거 같아요!! 증상이 심하면 이비인후과에 방문해주세요!
비용종,코가 막히고 콧물이 나요.,비용종인거 같아요!! 증상이 심하면 이비인후과에 방문해주세요
후각장애,냄새를 맡을 수 없어요.,후각장애인거 같아요! 약물 혹은 수술로 개선할 수도 있으니 이비인후과에 방문해주세요!
비인두 종양,코가 막히고 소리가 잘 안들려요.,비인두 종양인거 같아요! 최대한 빨리 이비인후과에 방문해주세요!
비인두 종양,코가 아프고 사물이 2개로 보여요.,비인두 종양인거 같아요! 최대한 빨리 이비인후과에 방문해주세요!
비인두 종양,코피가 나고 목 주변이 부었어요.,비인두 종양인거 같아요! 최대한 빨리 이비인후과에 방문해주세요!
후두암,목소리가 변하고 삼키는게 어려워요.,후두암인거 같아요! 최대한 빨리 이비인후과에 방문해주세요!
후두암,목이 아프고 이물감이 느껴져요.,후두암인거 같아요! 최대한 빨리 이비인후과에 방문해주세요!
후두암,기침할 때 피가 나와요.,후두암인거 같아요! 최대한 빨리 이비인후과에 방문해주세요!
위염,열이 나고 배가 너무아파요.,위염일 가능성이 있어요! 자극적인 음식은 자제하고 따뜻한 물을 먹어주세요  증상이 심하다면 내과에 방문해주세요!
위염,복부 통증이 있어요.,위염일 가능성이 있어요! 자극적인 음식은 자제하고 따뜻한 물을 먹어주세요  증상이 심하다면 내과에 방문해주세요!
위염,속이 너무 아파요.,위염일 가능성이 있어요! 자극적인 음식은 자제하고 따뜻한 물을 먹어주세요  증상이 심하다면 내과에 방문해주세요!
위염,속이 아프고 토를 해요.,위염일 가능성이 있어요! 자극적인 음식은 자제하고 따뜻한 물을 먹어주세요  증상이 심하다면 내과에 방문해주세요! 열이 심해서 토를 했다면 이비인후과에 방문해주세요 독감일 수 있습니다.
역류성 식도염,밥을 먹고 나면 가슴통증과 속이 쓰려요,역류성 식도염인거 같아요! 통증으로 열이 날 수 있어요	 자극적인 음식은 자제하고 따뜻한 물을 먹어주세요! 증상이 심하다면 내과에 방문해주세요!
충수염,배가 너무 아프고 설사를 해요,장이 좋지않은거 같아요 열이나 구토를 할 수 있습니다 자극적인 음식은 자제하고 따뜻한 물을 먹어주세요. 증상이 나아지지 않는다면 내과를 방문해주세요
췌장염,배가 아프고 설사를 계속하는 최근에 몸무게가 계속 줄어,술을 자주 마셨다면 췌장염일 수 도 있습니다. 빠른 시일내로 내과에 방문해주세요!
췌장염,토를 계속 하고 체중이 계속 줄어,술을 자주 마셨다면 췌장염일 수 도 있습니다. 빠른 시일내로 내과에 방문해주세요!
간염,황달 증상이 보여,간염일 수 도 있습니다. 빠른 시일내로 내과에 방문해주세요!
간염,계속 피곤하고 체중이 계속 감소해,황달 증상까지 있다면 간염일 가능성이 높습니다. 빠른 시일내로 내과에 방문해주세요!
간염,체중이 계속 감소하고 배가 계속 불편해서 식욕이 없어,황달 증상까지 있다면 간염일 가능성이 높습니다. 빠른 시일내로 내과에 방문해주세요!
